Player,Age,Team,Posicion
Mohamed Salah,32,Liverpool,MF
Virgil van Dijk,33,Liverpool,DF
Ryan Gravenberch,22,Liverpool,MF
Alexis Mac Allister,25,Liverpool,MF
Ibrahima Konaté,25,Liverpool,DF
Dominik Szoboszlai,23,Liverpool,MF
Andy Robertson,30,Liverpool,DF
Alisson,31,Liverpool,GK
Luis Díaz,27,Liverpool,FW
Trent Alexander-Arnold,25,Liverpool,DF
Cody Gakpo,25,Liverpool,MF
Curtis Jones,23,Liverpool,MF
Diogo Jota,27,Liverpool,FW
Caoimhín Kelleher,25,Liverpool,GK
Kostas Tsimikas,28,Liverpool,DF
Darwin Núñez,25,Liverpool,FW
Conor Bradley,21,Liverpool,DF
Joe Gomez,27,Liverpool,DF
Jarell Quansah,21,Liverpool,DF
Harvey Elliott,21,Liverpool,MF
Wataru Endo,31,Liverpool,MF
Federico Chiesa,26,Liverpool,FW
Vitezslav Jaros,23,Liverpool,GK
Jayden Danns,18,Liverpool,FW
Harvey Davies,20,Liverpool,GK
James McConnell,19,Liverpool,MF
Tyler Morton,21,Liverpool,MF
Amara Nallo,17,Liverpool,DF
Trey Nyoni,17,Liverpool,MF
Pedri,21,Barcelona,MF
Raphinha,27,Barcelona,MF
Robert Lewandowski,35,Barcelona,FW
Lamine Yamal,17,Barcelona,MF
Pau Cubarsí,17,Barcelona,DF
Jules Koundé,25,Barcelona,DF
Iñigo Martínez,33,Barcelona,DF
Alejandro Balde,20,Barcelona,DF
Marc Casado,20,Barcelona,MF
Iñaki Peña,25,Barcelona,GK
Wojciech Szczęsny,34,Barcelona,GK
Eric García,23,Barcelona,DF
Gavi,19,Barcelona,MF
Dani Olmo,26,Barcelona,MF
Fermin López,21,Barcelona,MF
Ferrán Torres,24,Barcelona,FW
Gerard Martín,22,Barcelona,DF
Ronald Araújo,25,Barcelona,DF
Frenkie de Jong,27,Barcelona,MF
Marc-André ter Stegen,32,Barcelona,GK
Héctor Fort,17,Barcelona,DF
Pablo Torre,21,Barcelona,MF
Marc Bernal,17,Barcelona,MF
Ansu Fati,21,Barcelona,MF
Pau Victor,22,Barcelona,FW
Andreas Christensen,28,Barcelona,DF
Sergi Dominguez,19,Barcelona,DF
Daniel Rodriguez,18,Barcelona,MF
Ander Astralaga,20,Barcelona,GK
Álvaro Cortés,19,Barcelona,DF
Andres Cuenca,17,Barcelona,DF
Noah Darvich,17,Barcelona,MF
Landry Farré,17,Barcelona,DF
Guillermo Fernandez,16,Barcelona,MF
Toni Fernández,16,Barcelona,MF
Diego Kochen,18,Barcelona,GK
Alexis Olmedo,18,Barcelona,DF
Álex Valle,20,Barcelona,DF
Áron Yaakobishvili,18,Barcelona,GK
David Raya,28,Arsenal,GK
William Saliba,23,Arsenal,DF
Declan Rice,25,Arsenal,MF
Thomas Partey,31,Arsenal,MF
Leandro Trossard,29,Arsenal,FW
Gabriel Magalhães,26,Arsenal,DF
Jurriën Timber,23,Arsenal,DF
Martin Ødegaard,25,Arsenal,MF
Gabriel Martinelli,23,Arsenal,FW
Kai Havertz,25,Arsenal,FW
Bukayo Saka,22,Arsenal,FW
Mikel Merino,28,Arsenal,MF
Myles Lewis-Skelly,17,Arsenal,DF
Ben White,26,Arsenal,DF
Riccardo Calafiori,22,Arsenal,DF
Ethan Nwaneri,17,Arsenal,FW
Jakub Kiwior,24,Arsenal,DF
Jorginho,32,Arsenal,MF
Raheem Sterling,29,Arsenal,FW
Gabriel Jesus,27,Arsenal,FW
Oleksandr Zinchenko,27,Arsenal,DF
Kieran Tierney,27,Arsenal,DF
Nathan Butler-Oyedeji,21,Arsenal,FW
Takehiro Tomiyasu,25,Arsenal,DF
Reiss Nelson,24,Arsenal,FW
Brayden Clarke,17,Arsenal,DF
Jimi Gower,19,Arsenal,MF
Ayden Heaven,17,Arsenal,DF
Jack Henry-Francis,20,Arsenal,MF
Ismeal Kabia,18,Arsenal,MF
