id_equipo,nombre_equipo,pais
1,Arsenal,
2,Aston Villa,
3,Atalanta,
4,Atlético Madrid,
5,Barcelona,
6,Bayern Munich,
7,Benfica,
8,Bologna,
9,Brest,
10,Brugge,
11,Celtic,
12,Dinamo Zagreb,
13,Dortmund,
14,Feyenoord,
15,Girona,
16,Inter Milan,
17,Juventus,
18,Leverkusen,
19,Lille,
20,Liverpool,
21,Manchester City,
22,Milan,
23,Monaco,
24,PSG,
25,PSV,
26,RB Leipzig,
27,RB Salzburg,
28,Real Madrid,
29,Red Star,
30,Shakhtar,
31,Slovan,
32,Sparta Prague,
33,Sporting,
34,Sturm,
35,Stuttgart,
36,Young Boys,
