player,position,country
72,CB,uy URU
Abdallah Sima,LW,sn SEN
Abdoulaye Niakhate Ndiaye,CB,sn SEN
Abdu Conté,LB,pt POR
Abel Ruiz,FW,es ESP
Achraf Hakimi,RB,ma MAR
Adam Aznou,LB,ma MAR
Adam Daghim,RW,dk DEN
Adam Idah,FW,ie IRL
Adam Sevinsky,CB,cz CZE
Adamo Nagalo,RB,bf BFA
Ademola Lookman,AM,ng NGA
Alaa Ghram,RB,tn TUN
Alan Virginius,RM,fr FRA
Albion Rrahmani,FW,xk KVX
Aleix García,AM,es ESP
Alejandro Balde,LB,es ESP
Alejandro Francés,CB,es ESP
Aleksa Terzic,LB,rs SRB
Aleksandar Katai,FW,rs SRB
Aleksandar Pavlovic,DM,de GER
Aleksandr Golovin,DM,ru RUS
Alen Mustafic,CM,ba BIH
Alessandro Bastoni,CB,it ITA
Alexander Bah,RB,dk DEN
Alexander Meyer,GK,de GER
Alexander Nübel,GK,de GER
Alexander Schlager,GK,at AUT
Alexander Sørloth,FW,no NOR
Alexis Mac Allister,DM,ar ARG
Alexsandro Ribeiro,CB,br BRA
Alisson,GK,br BRA
Alistair Johnston,RB,ca CAN
Alphonso Davies,LB,ca CAN
Amadou Haidara,CM,ml MLI
Amadou Onana,DM,be BEL
Amady Camara,FW,ml MLI
Amar Dedic,RB,ba BIH
Amara Nallo,CB,eng ENG
Ameen Al-Dakhil,LB,be BEL
Amine Adli,AM,ma MAR
Anatolii Trubin,GK,ua UKR
Andrea Cambiaso,LB,it ITA
Andreas Schjelderup,RB,no NOR
Andreas Skov Olsen,RM,dk DEN
Andres Cuenca,CB,es ESP
Andrew Robertson,LB,sct SCO
Andrija Maksimovic,AM,rs SRB
Andriy Lunin,GK,ua UKR
André Silva,LW,pt POR
Angel Gomes,CM,eng ENG
Angelo Stiller,DM,de GER
Anis Hadj Moussa,WB,dz ALG
Anrie Chase,RB,jp JPN
Ansu Fati,LW,es ESP
Antal Yaakobishvili,CB,hu HUN
Anthony Ralston,RB,sct SCO
Anthony Rouault,CB,fr FRA
Antoine Griezmann,AM,fr FRA
Antoni Milambo,RW,nl NED
Antonio Nusa,RM,no NOR
Antonio Rüdiger,CB,de GER
António Silva,CB,pt POR
Arbër Hoxha,LB,al ALB
Arda Güler,AM,tr TUR
Ardon Jashari,CM,ch SUI
Arijan Ademi,CM,mk MKD
Arijon Ibrahimovic,FW,de GER
Arjan Malic,RB,ba BIH
Armando Obispo,AM,cw CUW
Arnau Martinez,RB,es ESP
Arnaut Danjuma,FW,nl NED
Arne Engels,RM,be BEL
Artem Bondarenko,DM,ua UKR
Artem Stepanov,FW,ua UKR
Arthur,RB,br BRA
Arthur Cabral,FW,br BRA
Arthur Vermeeren,CM,be BEL
Artur Gajdoš,DM,sk SVK
Asger Sørensen,CB,dk DEN
Assan Ouedraogo,RB,de GER
Atakan Karazor,DM,tr TUR
Aurélien Tchouaméni,CM,fr FRA
Auston Trusty,CB,us USA
Axel Witsel,AM,be BEL
Ayase Ueda,AM,jp JPN
Ayman Azhil,RM,ma MAR
Ayyoub Bouaddi,CM,fr FRA
Aïssa Mandi,CB,dz ALG
Bafodé Diakité,CB,fr FRA
Bart Nieuwkoop,RM,nl NED
Bartol Franjic,DM,hr CRO
Ben Godfrey,CB,eng ENG
Ben White,RB,eng ENG
Benjamin André,CM,fr FRA
Benjamin Boakye,RW,de GER
Benjamin Henrichs,RB,de GER
Benjamin Pavard,CB,fr FRA
Benjamin Šeško,FW,si SVN
Benjamín Rollheiser,AM,ar ARG
Berat Djimsiti,CB,al ALB
Bernardo Silva,CM,pt POR
Bjorn Meijer,LB,nl NED
Bobby Clark,LM,eng ENG
Bojan Miovski,FW,mk MKD
Boubacar Kamara,DM,fr FRA
Bradley Barcola,LW,fr FRA
Brahim Díaz,RM,ma MAR
Brandon Mechele,CB,be BEL
Branko Pavic,CM,hr CRO
Breel Embolo,FW,ch SUI
Brendan Chardonnet,CB,fr FRA
Bruno Duarte,FW,br BRA
Bruno Petkovic,FW,hr CRO
Bryan Gil,LW,es ESP
Bukayo Saka,RW,eng ENG
Caio Henrique Oliveira Silva,LM,br BRA
Callum Mc Gregor,CM,sct SCO
Calvin Stengs,RW,nl NED
Cameron Carter-Vickers,CB,us USA
Caoimhín Kelleher,GK,ie IRL
Carlos Augusto,WB,br BRA
Casper Nielsen,CM,dk DEN
Castello Lukeba,CB,fr FRA
Cedric Itten,FW,ch SUI
Charalambos Lykogiannis,LB,gr GRE
Charalampos Lykogiannis,LB,gr GRE
Charles De Ketelaere,AM,be BEL
Cheikh Niasse,CM,sn SEN
Cheikh Tidiane Niasse,DM,sn SEN
Chemsdine Talbi,LM,be BEL
Cherif Ndiaye,FW,sn SEN
Chris Führich,LW,de GER
Chris Nadje,AM,fr FRA
Christian Mawissa,LB,fr FRA
Christian Pulisic,RW,us USA
Christoph Baumgartner,RM,at AUT
Christos Tzolis,LM,gr GRE
Clément Lenglet,CB,fr FRA
Cody Gakpo,LW,nl NED
Cole Campbell,RW,us USA
Conor Bradley,RB,nir NIR
Conor Gallagher,CM,eng ENG
Conrad Harder,FW,dk DEN
Couhaib Driouech,LW,ma MAR
Cristhian Stuani,FW,uy URU
Curtis Jones,AM,eng ENG
César Azpilicueta,LB,es ESP
César Blackman,RB,pa PAN
Daizen Maeda,LW,jp JPN
Daley Blind,LB,nl NED
Dan Ndoye,LW,ch SUI
Dan-Axel Zagadou,CB,fr FRA
Dane Murray,CB,sct SCO
Dani Carvajal,RB,es ESP
Dani Ceballos,LM,es ESP
Dani Olmo,LW,es ESP
Daniel Bragança,CM,pt POR
Daniel Cummings,FW,sct SCO
Daniel Peretz,GK,il ISR
Daniil Khudiakov,GK,ru RUS
Danijel Zagorac,GK,hr CRO
Danilo,CB,br BRA
Danylo Ihnatenko,DM,ua UKR
Danylo Sikan,FW,ua UKR
Daouda Guindo,LB,ml MLI
Darian Males,LM,ch SUI
Dario Špikić,RB,hr CRO
Darwin Núñez,FW,uy URU
David Alaba,CB,at AUT
David López,CB,es ESP
David Pavelka,CM,cz CZE
David Raum,LB,de GER
David Raya,GK,es ESP
David von Ballmoos,GK,ch SUI
Davide Calabria,RB,it ITA
Davide Frattesi,CM,it ITA
Davide Zappacosta,WB,it ITA
Dayot Upamecano,CB,fr FRA
Declan Rice,LM,eng ENG
Denis Zakaria,DM,ch SUI
Deniz Undav,FW,de GER
Denzel Dumfries,WB,nl NED
Diego Carlos,CB,br BRA
Dimitri Lavalée,CB,be BEL
Diogo Jota,FW,pt POR
Dmytro Kryskiv,DM,ua UKR
Dmytro Riznyk,GK,ua UKR
Dominik Szoboszlai,AM,hu HUN
Dominik Takác,GK,sk SVK
Donny van de Beek,AM,nl NED
Donnyvande Beek,AM,nl NED
Donyell Malen,FW,nl NED
Douglas Luiz,RM,br BRA
Dušan Vlahović,FW,rs SRB
Dálcio,DM,gw GNB
Dávid Hancko,CB,sk SVK
Dávid Strelec,FW,sk SVK
Désiré Doué,LW,fr FRA
Ebrima Colley,LW,gm GAM
Ederson,GK,br BRA
Edimilson Fernandes,CM,ch SUI
Edmond Tapsoba,CB,bf BFA
Edon Zhegrova,RM,xk KVX
Eduardo Camavinga,CM,fr FRA
Eduardo Quaresma,CB,pt POR
Egor Prutsev,RW,ru RUS
Eguinaldo,LW,br BRA
El Bilal Touré,FW,ml MLI
El Chadaille Bitshiabu,RB,fr FRA
Elias Cobbaut,CB,be BEL
Eliesse Ben Seghir,LW,ma MAR
Elif Elmas,LM,mk MKD
Eliot Matazo,DM,be BEL
Emanuel Aiwum,CB,at AUT
Emerson,RB,br BRA
Emi Buendía,AM,ar ARG
Emil Holm,RB,se SWE
Emiliano Martínez,GK,ar ARG
Emre Can,DM,de GER
Endrick,RW,br BRA
Enzo Millot,AM,fr FRA
Erencan Yardimci,FW,tr TUR
Eric Dier,CB,eng ENG
Eric García,DM,es ESP
Erling Haaland,FW,no NOR
