Jugador;núm.;País;Posc;Edad;Mín;Gls.;Ass;TP;TPint;Dis;DaP;TA;TR;Toques;Tkl;Int;Bloqueos;xG;npxG;xAG;ACT;ACG;Cmp;Int.;% Cmp;PrgP;Transportes;PrgC;Att;Succ;min gol;vs
Ollie Watkins;11;eng ENG;FW;28-262;59;0;1;0;0;4;0;0;0;19;0;0;0;0.6;0.6;0.8;4;0;8;10;80.0;1;14;1;0;0;;Young Boys
Jáder Durán;9;co COL;FW;20-279;31;0;0;0;0;3;0;1;0;12;0;1;0;0.1;0.1;0.0;1;0;3;6;50.0;0;5;1;0;0;;Young Boys
Jacob Ramsey;41;eng ENG;LW;23-112;90;1;0;0;0;3;3;0;0;52;0;0;1;0.7;0.7;0.3;6;1;41;43;95.3;9;35;3;1;1;38;Young Boys
John McGinn;7;sct SCO;RW;29-335;90;0;1;0;0;2;0;0;0;38;1;1;0;0.2;0.2;0.0;3;1;24;30;80.0;2;28;0;2;1;;Young Boys
Morgan Rogers;27;eng ENG;AM;22-053;87;0;0;0;0;3;1;0;0;47;0;1;0;0.2;0.2;0.6;8;0;22;33;66.7;6;32;5;5;4;;Young Boys
Emi Buendía;10;ar ARG;AM;27-267;3;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.1;1;0;3;3;100.0;0;2;1;0;0;;Young Boys
Youri Tielemans;8;be BEL;DM;27-133;86;1;1;0;0;3;2;0;0;67;2;1;0;0.1;0.1;0.0;6;1;52;56;92.9;6;45;0;2;1;27;Young Boys
Ian Maatsen;22;nl NED;LB,DM;22-191;4;0;0;0;0;0;0;0;0;4;1;0;0;0.0;0.0;0.0;0;0;3;4;75.0;0;1;0;0;0;;Young Boys
Amadou Onana;24;be BEL;DM;23-032;90;1;0;0;0;1;1;0;0;44;2;1;0;0.0;0.0;0.0;0;0;34;37;91.9;4;33;0;0;0;86;Young Boys
Lucas Digne;12;fr FRA;LB;31-059;87;0;0;0;0;0;0;0;0;58;1;0;0;0.0;0.0;0.1;3;1;45;56;80.4;1;29;0;0;0;;Young Boys
Ross Barkley;6;eng ENG;DM;30-287;3;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;2;3;66.7;0;1;0;0;0;;Young Boys
Pau Torres;14;es ESP;CB;27-245;90;0;0;0;0;0;0;0;0;50;0;0;1;0.0;0.0;0.0;1;0;38;43;88.4;3;27;1;0;0;;Young Boys
Ezri Konsa;4;eng ENG;RB,CB;26-330;90;0;0;0;0;1;0;0;0;53;0;2;0;0.1;0.1;0.0;0;0;41;44;93.2;1;34;1;0;0;;Young Boys
Lamare Bogarde;26;nl NED;RB;20-256;45;0;0;0;0;0;0;0;0;18;3;0;0;0.0;0.0;0.0;1;0;9;11;81.8;0;7;0;0;0;;Young Boys
Diego Carlos;3;br BRA;CB;31-186;45;0;0;0;0;0;0;0;0;16;0;1;0;0.0;0.0;0.0;0;0;12;14;85.7;1;10;0;0;0;;Young Boys
Emiliano Martínez;23;ar ARG;GK;32-015;90;0;0;0;0;0;0;0;0;48;0;0;0;0.0;0.0;0.0;2;0;32;45;71.1;0;29;0;0;0;;Young Boys
Silvère Ganvoula M'Boussy;35;cg CGO;FW;28-087;82;0;0;0;0;2;2;0;0;19;0;0;0;0.2;0.2;0.0;1;0;3;8;37.5;0;10;1;1;1;;Aston Villa
Cedric Itten;9;ch SUI;FW;27-265;8;0;0;0;0;1;0;0;0;5;0;0;0;0.0;0.0;0.0;2;0;3;4;75.0;1;2;0;0;0;;Aston Villa
Ebrima Colley;11;gm GAM;LW,LM;24-229;62;0;0;0;0;2;1;0;0;26;0;0;0;0.1;0.1;0.1;3;0;15;23;65.2;4;20;2;0;0;;Aston Villa
Alan Virginius;21;fr FRA;RM,FW;21-258;28;0;0;0;0;1;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;2;1;0;0;;Aston Villa
Joel Monteiro;77;ch SUI;RW,LM,RM;25-043;82;0;0;0;0;0;0;1;0;31;6;2;2;0.0;0.0;0.0;0;0;8;19;42.1;1;16;0;1;0;;Aston Villa
Darian Males;39;ch SUI;LM;23-137;8;0;0;0;0;0;0;0;0;6;2;0;0;0.0;0.0;0.0;0;0;1;3;33.3;0;1;0;1;0;;Aston Villa
