Player;Pos;Age;Team
Mohamed Salah;MF;32;Liverpool
Virgil van Dijk;DF;33;Liverpool
Ryan Gravenberch;MF;22;Liverpool
Alexis Mac Allister;MF;25;Liverpool
Ibrahima Konaté;DF;25;Liverpool
Dominik Szoboszlai;MF;23;Liverpool
Andy Robertson;DF;30;Liverpool
Alisson;GK;31;Liverpool
Luis Díaz;FW,MF;27;Liverpool
Trent Alexander-Arnold;DF;25;Liverpool
Cody Gakpo;MF;25;Liverpool
Curtis Jones;MF,DF;23;Liverpool
Diogo Jota;FW;27;Liverpool
Caoimhín Kelleher;GK;25;Liverpool
Kostas Tsimikas;DF;28;Liverpool
Darwin Núñez;FW;25;Liverpool
Conor Bradley;DF;21;Liverpool
Joe Gomez;DF;27;Liverpool
Jarell Quansah;DF;21;Liverpool
Harvey Elliott;MF;21;Liverpool
Wataru Endo;MF;31;Liverpool
Federico Chiesa;FW;26;Liverpool
Vitezslav Jaros;GK;23;Liverpool
Jayden Danns;FW;18;Liverpool
Harvey Davies;GK;20;Liverpool
James McConnell;MF;19;Liverpool
Tyler Morton;MF;21;Liverpool
Amara Nallo;DF;17;Liverpool
Trey Nyoni;MF;17;Liverpool
Pedri;MF;21;Barcelona
Raphinha;MF,FW;27;Barcelona
Robert Lewandowski;FW;35;Barcelona
Lamine Yamal;MF,FW;17;Barcelona
Pau Cubarsí;DF;17;Barcelona
Jules Koundé;DF;25;Barcelona
Iñigo Martínez;DF;33;Barcelona
Alejandro Balde;DF;20;Barcelona
Marc Casado;MF;20;Barcelona
Iñaki Peña;GK;25;Barcelona
Wojciech Szczęsny;GK;34;Barcelona
Eric García;DF,MF;23;Barcelona
Gavi;MF;19;Barcelona
Dani Olmo;MF;26;Barcelona
Fermin López;MF;21;Barcelona
Ferrán Torres;FW,MF;24;Barcelona
Gerard Martín;DF;22;Barcelona
Ronald Araújo;DF;25;Barcelona
Frenkie de Jong;MF;27;Barcelona
Marc-André ter Stegen;GK;32;Barcelona
Héctor Fort;DF;17;Barcelona
Pablo Torre;MF;21;Barcelona
Marc Bernal;MF;17;Barcelona
Ansu Fati;MF;21;Barcelona
Pau Victor;FW;22;Barcelona
Andreas Christensen;DF;28;Barcelona
Sergi Dominguez;DF;19;Barcelona
Daniel Rodriguez;MF;18;Barcelona
Ander Astralaga;GK;20;Barcelona
Álvaro Cortés;DF;19;Barcelona
Andres Cuenca;DF;17;Barcelona
Noah Darvich;MF;17;Barcelona
Landry Farré;DF;17;Barcelona
Guillermo Fernandez;MF;16;Barcelona
Toni Fernández;MF;16;Barcelona
Diego Kochen;GK;18;Barcelona
Alexis Olmedo;DF;18;Barcelona
Álex Valle;DF;20;Barcelona
Áron Yaakobishvili;GK;18;Barcelona
David Raya;GK;28;Arsenal
William Saliba;DF;23;Arsenal
